Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.914557101787262,1.05707310890778,1.1026182595186,1.02751728089616,1.10575367270347,1.14537281500282,1.00040733564819,..,..,..
Guatemala,GTM,Control of Corruption: Estimate,CC.EST,-0.756130754947662,-0.780903100967407,-0.790915012359619,-0.787171602249146,-0.821694731712341,-0.915391564369202,-1.13400268554688,-1.19213712215424,-1.20975136756897,..
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3903.05196634916,3994.62908519019,4034.15057717449,4091.25998307266,4163.47630221389,4263.70844366435,4124.14353853545,4388.72407207344,4504.12922283915,..
Guatemala,GTM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8924.9427445573,9876.96218854757,10383.5096902006,11012.7337332879,11148.9079396358,11718.0777381875,11590.967117022,12106.4225430833,13299.5647166696,..
Guatemala,GTM,Government Effectiveness: Estimate,GE.EST,-0.761851191520691,-0.76994127035141,-0.653969824314117,-0.692472994327545,-0.717828691005707,-0.726433575153351,-0.712843358516693,-0.782320499420166,-0.906891822814941,..
Honduras,HND,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.17714874563862,7.91512287224856,1.70060720935767,4.79654669448732,-2.41434567494686,0.591576487911112,-6.07411152156611,7.42466978028521,..,..
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.08285131015576,1.13380970799413,1.09871281471182,0.974047356339701,0.922234078945353,1.02385531471622,0.872911171700029,..,..,..
Honduras,HND,Control of Corruption: Estimate,CC.EST,-0.787135541439056,-0.589254200458527,-0.679066300392151,-0.739263594150543,-0.656966507434845,-0.875686287879944,-0.988052368164063,-1.09101843833923,-1.00207138061523,..
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2213.44050673379,2257.22528369354,2303.87850398806,2373.79155954108,2423.27605962903,2446.10809655856,2190.97436850337,2428.03194678525,2487.70561222524,..
Honduras,HND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4428.43192139492,4815.77502688247,5159.61750851391,5598.05654635511,5617.48319783953,5824.32131492686,5493.21877422998,6285.9287396567,6893.86979852924,..
Honduras,HND,Government Effectiveness: Estimate,GE.EST,-0.811582028865814,-0.858826220035553,-0.76320344209671,-0.531442284584045,-0.618283271789551,-0.619096457958221,-0.645444571971893,-0.818129122257233,-0.866467356681824,..
Mexico,MEX,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.27440975005115,3.53388498577264,0.219644845885753,1.38092589499419,0.254900713102018,0.36726309574631,-12.073635263235,1.99187732805053,..,..
